lesson_text,keywords,lesson_type,difficulty_level,target
AI-generated literature summary with key takeaways.,"['Shakespeare', 'poetry']",Literature,Intermediate,1
Lesson on writing covering essential rules.,"['creative writing', 'essays']",Writing,Beginner,1
Writing task focusing on literature skills.,"['poetry', 'Shakespeare']",Literature,Advanced,0
Interactive vocabulary activity with exercises.,"['words', 'phrases']",Vocabulary,Advanced,0
Comprehension exercise based on writing.,"['creative writing', 'essays']",Writing,Beginner,1
Speaking practice involving writing scenarios.,"['creative writing', 'punctuation']",Writing,Beginner,1
Lesson on writing covering essential rules.,"['punctuation', 'essays']",Writing,Beginner,0
Comprehension exercise based on vocabulary.,"['phrases', 'words']",Vocabulary,Intermediate,0
Speaking practice involving vocabulary scenarios.,"['phrases', 'words']",Vocabulary,Intermediate,0
Speaking practice involving literature scenarios.,"['Shakespeare', 'novels']",Literature,Advanced,1
Lesson on writing covering essential rules.,"['punctuation', 'creative writing']",Writing,Intermediate,0
Speaking practice involving writing scenarios.,"['creative writing', 'punctuation']",Writing,Intermediate,1
Lesson on grammar covering essential rules.,"['tenses', 'verbs']",Grammar,Beginner,1
Writing task focusing on grammar skills.,"['sentence structure', 'tenses']",Grammar,Intermediate,1
Comprehension exercise based on writing.,"['creative writing', 'punctuation']",Writing,Beginner,0
AI-generated vocabulary summary with key takeaways.,"['words', 'phrases']",Vocabulary,Beginner,1
Writing task focusing on reading skills.,"['analysis', 'passage']",Reading,Intermediate,0
AI-generated vocabulary summary with key takeaways.,"['synonyms', 'words']",Vocabulary,Beginner,1
AI-generated writing summary with key takeaways.,"['essays', 'creative writing']",Writing,Beginner,1
Writing task focusing on speaking skills.,"['dialogues', 'conversation']",Speaking,Intermediate,1
Writing task focusing on grammar skills.,"['sentence structure', 'tenses']",Grammar,Beginner,0
Speaking practice involving reading scenarios.,"['comprehension', 'passage']",Reading,Beginner,1
Lesson on reading covering essential rules.,"['comprehension', 'passage']",Reading,Advanced,1
Comprehension exercise based on writing.,"['essays', 'creative writing']",Writing,Beginner,0
Comprehension exercise based on speaking.,"['dialogues', 'conversation']",Speaking,Advanced,0
Comprehension exercise based on grammar.,"['tenses', 'sentence structure']",Grammar,Beginner,1
